title;description;url;image
Bookly;An app that allows me to track my speed reading. This has been useful to me to track 53 books that I've managed to read over the last few months.;https://play.google.com/store/apps/details?id=com.twodoor.bookly&hl=en_US;Bookly.png
Clockify;An app that has helped me to track multiple projects not limited to my VBA and Python coding.;https://play.google.com/store/apps/details?id=me.clockify.android&hl=en_US;Clockify.png
